"Taxon","Trait1","Trait2","Trait3","Trait4","Trait5"
"FAV_Favites_stylifera",-36.9283718695549,27.1231836854625,-8.7268030993432,39.2622090907063,15.0823596062651
"FAV_Platygyra_contorta",-41.4347417083866,21.5743741666516,-5.66686353356315,39.6698321998461,14.4974758830888
"FAV_Platygyra_lamellina",-37.5791106000328,24.0615564916193,-7.16381532445974,42.0683395766202,12.8925077611268
"FAV_Platygyra_acuta",-40.8276944817159,22.5858255341443,-5.43982553669662,41.0864407228526,14.1295283985557
"FAV_Platygyra_ryukyuensis",-38.4023947759573,24.1685926925968,-5.2403771665128,42.7312419483473,13.5680324495587
"FAV_Favites_russelli",-6.19135065116035,47.9322241217582,-19.6284698081952,52.5773356273305,-2.02083817440004
"FAV_Goniastrea_australensis",-13.3151961943681,44.1253112821519,-29.630341541894,57.9572191217489,-4.26912033381397
"FAV_Goniastrea_deformis",-6.09994965579969,45.1524422933831,-19.6123586092046,56.5415858210212,-3.39603791640992
"FAV_Goniastrea_aspera",1.55655358351643,34.0513535159126,-20.3730811093881,64.9004223725428,-8.11771640143225
"FAV_Favites_paraflexuosa",-5.48889663064844,31.1918152240418,-6.31802132318773,58.5125561869016,3.52364893860223
"FAV_Montastraea_magnistellata",6.09934922160992,47.9935805684181,-8.64268593504587,60.6594451170537,-5.71945246098394
"FAV_Favites_chinensis",-7.87578693462281,38.4534936012836,-13.1291472616962,55.7880979090838,-2.82227123996417
"FAV_Montastraea_valenciennesi",5.07803241717936,47.0257958904381,-19.4806049884472,57.5165734874815,-9.11066426125285
"FAV_Favites_abdita",-2.01522732404435,46.3057025436771,-11.9950928508605,53.0578711706363,-4.2471875288644
"FAV_Favites_complanata",4.43786165089358,46.1561491316425,-11.2706982957103,57.527263160125,-6.42484064170019
"FAV_Favia_rotundata",4.85676795268142,46.8541694953075,-11.2470926390317,57.2590444324002,-5.90368611130704
"FAV_Montastraea_colemani",4.87603260221128,44.2973266757303,-10.0351695488256,53.708113674667,-4.90059361377211
"FAV_Favites_flexuosa",3.44988707775558,44.6067863681635,-12.5374071278543,55.3389731841032,-6.86650155786961
"FAV_Favites_halicora",3.07282506630423,45.1897466604498,-11.8064412651748,55.0542080588591,-6.55965989951385
"FAV_Oulophyllia_bennettae",-4.01994065256124,9.10415311056884,1.61862430909358,73.2219083464191,4.98806789190499
"FAV_Oulophyllia_crispa",-2.81634562164211,9.22342649998902,3.13451728340389,72.8169157905163,4.03091284471371
"FAV_Caulastraea_echinulata",2.79539047284,13.8761418384202,15.3281598907321,69.0149223649543,9.05892102953498
"FAV_Caulastraea_tumida",-8.09932153700178,20.6139022511323,6.31815433267781,62.5976057407255,6.80848124677248
"FAV_Caulastraea_furcata",-10.5270321520743,20.499158576867,-2.44859220464276,59.3009080845067,2.51804270003588
"PEC_Pectinia_ayleni",11.6067838166749,10.9366019916433,-4.53481572275739,73.2408012990682,4.29118847583065
"PEC_Pectinia_lactuca",12.0824189983027,9.22354973789515,-4.12997971040961,73.3722427025664,3.07737077037696
"PEC_Pectinia_alcicornis",6.3169419251423,9.06528171294278,-5.35464586434182,71.4218038859585,2.0321677591862
"PEC_Pectinia_paeonia",10.8610762063916,7.95821486148534,-5.276598761019,71.876529910863,0.673075629975266
"PEC_Mycedium_robokaki",17.1164806884792,6.79281858753217,-5.08288443144952,75.0169464827151,-1.97428367201594
"PEC_Mycedium_elephantotus",19.8856151885628,9.92538938291112,-8.36076376675476,76.8376554820875,-4.45225820622014
"FAV_Favites_pentagona",-13.0436355507339,18.7118709584084,-6.83261283907329,48.4257974642078,-2.1215400998306
"FAV_Montastraea_curta",-3.77059306531447,26.5764577427312,-10.0452714804745,48.0400827924756,-7.64294164793795
"FAV_Favia_stelligera",3.08863563552947,30.5811030828274,-26.4485264148673,81.1364863706826,-13.9819698688729
"FAV_Goniastrea_retiformis",1.98031062693918,34.5346247258295,-22.4421177537832,72.8124019073032,-13.9694420840035
"FAV_Leptoria_irregularis",1.79228026257002,36.1059653994285,-25.6535126236065,56.6804263437083,-11.7622065689372
"MER_Scapophyllia_cylindrica",1.56616109221561,37.5762108801821,-26.2774321656661,55.9109067657563,-14.242965525769
